,index,n_trial,rt,stim_selected,correct_stim,correct,feedback,feedback_congruent,correct_count,trial_till_correct,reversal,block_no,participant_no,timed_out,block_type,time_taken,criteria
8,0,9.0,681.0,0,0,True,correct,True,1.0,4.0,1.0,1.0,1.0,0,Points,11.884533333333334,0
9,0,10.0,504.0,0,0,True,correct,True,2.0,5.0,1.0,1.0,1.0,0,Points,11.884533333333334,0
10,0,11.0,900.0,0,0,True,correct,True,3.0,6.0,1.0,1.0,1.0,0,Points,11.884533333333334,0
11,0,12.0,524.0,0,0,True,correct,True,4.0,7.0,1.0,1.0,1.0,0,Points,11.884533333333334,0
12,0,13.0,832.0,0,0,True,correct,True,5.0,8.0,1.0,1.0,1.0,0,Points,11.884533333333334,0
13,0,14.0,948.0,0,1,False,incorrect,True,0.0,1.0,2.0,1.0,1.0,0,Points,11.884533333333334,0
14,0,15.0,1116.0,1,1,True,correct,True,1.0,2.0,2.0,1.0,1.0,0,Points,11.884533333333334,0
15,0,16.0,609.0,0,1,False,incorrect,True,0.0,3.0,2.0,1.0,1.0,0,Points,11.884533333333334,0
16,0,17.0,813.0,0,1,False,incorrect,True,0.0,4.0,2.0,1.0,1.0,0,Points,11.884533333333334,0
17,0,18.0,490.0,1,1,True,incorrect,False,1.0,5.0,2.0,1.0,1.0,0,Points,11.884533333333334,0
18,0,19.0,515.0,1,1,True,correct,True,2.0,6.0,2.0,1.0,1.0,0,Points,11.884533333333334,0
19,0,20.0,870.0,1,1,True,incorrect,False,3.0,7.0,2.0,1.0,1.0,0,Points,11.884533333333334,0
20,0,21.0,1019.0,1,1,True,correct,True,4.0,8.0,2.0,1.0,1.0,0,Points,11.884533333333334,0
21,0,22.0,823.0,1,1,True,correct,True,5.0,9.0,2.0,1.0,1.0,0,Points,11.884533333333334,0
22,0,23.0,991.0,1,0,False,incorrect,True,0.0,1.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
23,0,24.0,989.0,0,0,True,correct,True,1.0,2.0,3.0,1.0,1.0,0,Points,11.884533333333334,0
